EPOCH,ACC,AUROC,OSCR,TNR,DTACC,AUIN,AUOUT,AUPR
30,93.5,91.42046908315564,86.86929637526649,61.513859275053306,83.18400852878464,92.38113423416677,90.58585352445752,90.6550508999703
31,92.7,90.83443496801706,85.7457356076759,57.56929637526653,82.22537313432836,91.92229290042829,90.000190555615,90.06936639029487
32,92.9,91.06087420042644,86.11332622601275,58.4221748400853,82.85714285714286,92.0869917180791,90.20221083037146,90.27201342197775
33,93.1,91.12409381663113,86.34861407249453,58.31556503198294,82.98400852878464,92.2080740384155,90.10955657595167,90.18129455354187
34,93.3,91.07185501066098,86.43187633262276,59.488272921108745,82.5452025586354,92.06751964446063,90.30990514384087,90.37834542546084
35,93.1,91.20106609808103,86.33496801705745,58.4221748400853,82.99562899786781,92.16140607722964,90.38794648789893,90.45676421096198
36,92.7,90.96407249466951,86.02505330490395,57.782515991471215,82.7179104477612,92.00743422172565,90.08345405555491,90.15332654618308
37,93.1,90.87110874200427,86.12153518123677,56.28997867803838,82.78027718550106,91.92718327233155,89.91488190020699,89.98522045153963
38,93.0,91.07228144989338,86.13171641791048,57.56929637526653,83.0868869936034,92.12792726864215,90.22141596346532,90.29048551783431
39,93.2,91.3186567164179,86.58811300639653,58.74200426439232,83.13240938166312,92.30078177786116,90.58843380411109,90.65553031463722
40,93.4,90.81855010660982,86.22590618336893,58.2089552238806,82.6952025586354,91.91654448993825,89.84546192995622,89.91578265192993
41,93.4,91.54882729211087,86.85223880597006,59.06183368869936,83.61503198294244,92.54493344389032,90.68744664436365,90.75575408667056
42,93.4,91.29040511727078,86.61242004264385,57.46268656716418,83.14765458422174,92.21220596568355,90.60435080600617,90.67222613800011
43,93.2,91.35970149253731,86.74077825159921,58.4221748400853,83.48816631130063,92.33911328550988,90.44158938956681,90.51216307290365
44,92.9,91.10639658848613,86.22388059701493,57.356076759061835,83.29477611940298,92.11916309996353,90.14922647208996,90.21895274944652
45,93.1,91.03496801705757,86.26465884861406,57.995735607675904,83.1315565031983,92.03350161197679,90.19621592171802,90.26517234038872
46,93.4,91.07761194029851,86.5327825159915,57.56929637526653,82.81257995735608,92.05262182157007,90.30336053183554,90.37244775335331
47,92.7,91.4640724946695,86.4899786780383,59.594882729211086,83.63155650319828,92.42946338439228,90.64132738221527,90.71028826978961
48,92.7,91.44179104477611,86.40692963752657,58.74200426439232,83.60511727078891,92.41296737719014,90.63312055390556,90.70256703252298
49,93.3,90.97420042643924,86.42212153518129,58.31556503198294,83.34477611940298,91.98593097187921,90.09607082346305,90.16534565542892
50,93.4,91.07398720682302,86.56284648187635,57.782515991471215,83.11172707889125,92.13258471934668,90.15474208303,90.22434211030205
51,92.9,90.91215351812366,86.02862473347554,57.782515991471215,82.5546908315565,91.97974429887886,90.02370982843692,90.09333146894876
52,92.6,91.04818763326226,85.94355010660988,58.2089552238806,82.89189765458423,92.08525010803321,90.19035269974196,90.25972760779753
53,93.1,91.01791044776118,86.21417910447747,56.71641791044777,82.8046908315565,92.03718446623375,90.21462485165975,90.28368824040753
54,92.9,91.03923240938167,86.04685501066095,57.356076759061835,83.1315565031983,92.05454502780681,90.19793798779,90.26682750715803
55,92.8,91.00842217484009,86.00613006396586,56.60980810234542,82.95799573560768,92.02245719823865,90.15517712072297,90.2253796200261
56,92.8,91.00788912579957,86.03406183368871,56.71641791044777,82.99477611940299,92.03189099219463,90.14971363498907,90.21919499506622
57,93.1,90.98411513859276,86.1976545842219,57.356076759061835,82.9918976545842,92.00331782170016,90.12343669940711,90.1925324636436
58,92.9,90.99104477611941,86.09925373134304,56.60980810234542,83.00138592750534,92.0165662904335,90.12606964774882,90.19516034748659
59,93.0,90.98678038379532,86.17468017057568,56.18336886993603,82.95138592750533,92.01414896708728,90.12066373557492,90.18989509108748
